Country	Region	Country Code	Currency Code	Currency Name	Area/City Code	When to Apply the Area/CityCode
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN137	Chifeng-Inner Mongolia
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN138	Tongliao-Inner Mongolia
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN139	HulunBuir-Inner Mongolia
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN140	Jilin-Jilin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN141	Yanji-Jilin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN142	Songyuan-Jilin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN143	Siping-Jilin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN144	Dalian-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN145	Anshan-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN146	Liaoyang-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN147	Huludao-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN148	Fushun-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN149	Jinzhou-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN150	Dandong-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN151	Yingkou-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN152	Panjin-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN153	Benxi-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN154	Datong-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN155	Changzhi-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN156	Yuncheng-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN157	Linfen-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN158	Lvliang-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN201	Hefei-Anhui
